Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,,125.9159090909,127.9795454545,130.3818181818,132.9545454545,135.575,138.2227272727,140.9136363636,143.5818181818,146.1522727273,148.5659090909,150.7681818182,152.7386363636,154.4818181818,156.0340909091,157.3931818182,158.5954545455,159.5977272727,160.2454545455,160.3477272727,159.775,158.5227272727,156.7045454545,154.45,151.9613636364,149.4181818182,146.8295454545,144.2818181818,142.1318181818,140.8340909091,140.6954545455,141.8454545455,144.1681818182,147.4272727273,151.25,155.3386363636,159.6477272727,164.1636363636,168.65,172.8204545455,176.4727272727,179.4818181818,181.8863636364,183.8727272727,185.7227272727,187.6477272727,189.6977272727,191.8113636364,193.975,196.1363636364,198.2568181818,200.3454545455,202.4295454545,204.5113636364,
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,,1.3645652995,1.3982791612,1.4253543861,1.4536011351,1.4823685615,1.5166031006,1.5358681645,1.5632037281,1.596266743,1.6280280645,1.6840008852,1.7152415292,1.7416659073,1.7863139945,1.8084427841,1.8266664931,1.8473634198,1.868971532,1.8892779506,1.912448095,1.9430378923,1.9757103992,2.0005727451,2.0233523814,2.0512086224,2.0851047212,2.1170612967,2.1519857334,2.1887195241,2.2213529802,2.249847051,2.2773127839,2.2997019122,2.32417375,2.3524204991,2.3835309738,2.41034586,2.4355987139,2.4635851242,2.4931335668,2.5269775979,2.558009971,2.5897712925,2.6199705817,2.654777866,2.6942321961,2.7111151608,2.7659945589,2.8235944964,2.8678650925,2.9079832863,2.958528045,3.0107259545,
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,,85.9466221953,86.4750030321,87.0322741055,87.6143238326,88.1854335961,88.8061370528,89.4723832626,89.9381807156,90.2493026076,90.565021225,90.9700667071,91.5003153426,92.0086719224,92.165409339,91.9212007277,91.758944815,91.7941782899,91.7198908429,91.5636749545,91.563771983,91.7975742874,91.8634323833,91.7151000606,91.7093268648,91.7523953911,91.8107216495,91.8688417223,91.9989933293,92.414396604,93.1212856277,94.0556822317,95.096531231,95.88396604,96.2537052759,96.4011885992,96.5314372347,96.6408853851,96.7469860522,96.9354032747,97.1687810794,97.5414554275,98.0225227411,98.5011885992,99.114202547,99.7917404488,100.2867313523,100.6123347483,100.9277865373,101.2428618233,101.4865366647,101.8292055479,102.2945430718,102.8992343069,
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,,48.4291671173,50.0806085295,51.7600370117,53.4224136895,55.0339353738,56.5808068063,58.0662364661,59.4947787111,60.8779456121,62.224785801,63.5359602004,64.8085847844,66.0449307233,67.2477979259,68.4210678107,69.5657137364,70.6874196378,71.8007738803,72.9241741471,74.0712835118,75.2483506976,76.4541980605,77.685749306,78.9364793251,80.2012449379,81.4733768341,82.7526587116,84.0469976087,85.3678695459,86.0280952209,87.3739740678,88.7078361393,90.0657317615,91.2914428542,92.3489190911,93.2862275737,94.1904899239,95.2317912675,96.52076658,97.434779977,98.1937920682,98.9124645961,99.6237235639,100.4753725566,101.5225018147,102.6725316747,103.853368672,106.0597625474,108.2912904553,109.5423441734,110.9763362288,112.4607902441,113.9248590578,
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,,110.6065031153,112.7145638629,114.9105529595,117.2880451713,119.9000778816,122.8146028037,125.9783878505,129.1789330218,132.124182243,134.6227803738,136.5885124611,138.1360981308,139.5229750779,141.1157320872,143.1850077882,145.8207943925,148.9651869159,152.5612928349,156.4971183801,160.6907320872,165.1010514019,169.7577492212,174.725,180.0954049844,185.9094626168,192.1978971963,198.8593068536,205.6399143302,212.2016744548,218.2972352025,223.9008566978,229.0762850467,233.7890965732,238.0237149533,241.8194314642,245.1122274143,248.0363317757,251.0775700935,254.8782320872,259.9021028037,266.3308411215,274.0547897196,282.8792834891,292.4755062305,302.5853582555,313.1845404984,324.3112149533,335.8364485981,347.6124221184,359.5308800623,371.509423676,383.5501947041,395.7372274143,
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.5485468956,339.714993395,341.2412483487,342.6728203435,344.1590819022,346.0573645971,348.3473579921,350.9147952444,353.6979194188,356.5552509908,360.6430647292,364.8528401585,367.5114266843,369.3136393659,
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,,21.8694749911,22.1996452643,22.5552944306,22.9368747783,23.3448031217,23.7795494856,24.2413089748,24.7299663001,25.2452288045,25.7872383824,26.356340901,26.9537069883,27.5813586378,28.2418144732,28.9372029088,29.6692178077,30.4386484569,31.2457431713,32.0903600568,32.9728981908,33.8968251153,34.864801348,35.8757715502,36.9277048599,38.0211333806,39.1490776871,40.3169208939,41.5517470734,42.8896771905,44.3532369635,45.9606686768,47.6962220646,49.5070947144,51.3195636751,53.08316779,54.7740156084,56.4145175594,58.0568730046,59.777323519,61.6297091167,63.6299308265,65.7568641362,67.9822720823,70.2624689606,72.5644022703,74.8817931891,77.2214437744,79.5786892515,81.9508957077,84.3366264633,86.7310659808,89.1335757361,91.5526250443,
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,,17.8895394737,18.1298428363,18.3765277778,18.6363011696,18.913994883,19.2118530702,19.5285818713,19.8612573099,20.2053070175,20.5577375731,20.9187828947,21.2908296784,21.6757565789,22.0761842105,22.4946929825,22.9314217836,23.3879276316,23.8699561404,24.3847185673,24.9372807018,25.5305482456,26.1632163743,26.8308004386,27.5264766082,28.2452923977,28.9864400585,29.7517397661,30.5420540936,31.3590095029,32.2040679825,33.0778143275,33.9806871345,34.9140095029,35.8793347953,36.8782017544,37.9114108187,38.9801973684,40.087119883,41.2351681287,42.4266959064,43.6625730994,44.9429788012,46.2685891813,47.6398318713,49.0567580409,50.5199451754,52.0287828947,53.5805774854,55.1716630117,56.7992836257,58.4624013158,60.1613340643,61.8963413743,
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,,391.4381424291,402.575424445,414.144833679,426.3895828532,439.4285319198,453.4825689483,468.3612814012,483.2851348237,497.1956518399,509.4020281171,519.5349773373,528.0023815011,535.8455634939,544.5432972267,555.1599677345,568.0622570485,582.9306599063,599.3057079204,616.4382960744,633.774602443,651.1803180456,668.8221710071,686.7916263348,705.2647921948,724.3429515249,744.0386033648,764.2082430668,784.6140969501,804.9423446263,824.9661750019,844.5462856265,863.7241146193,882.672989168,901.6631481908,920.8695167857,940.3157102251,959.8626027503,979.3233771222,998.4391411231,1017.0028808481,1035.0272950757,1052.5180840439,1069.2631635554,1085.0044941231,1099.6019052009,1112.9192747945,1125.1215103326,1136.7440039948,1148.521932857,1160.9854421142,1174.3291925943,1188.4102942306,1203.0034723823,
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,,71.7989514598,72.430136491,73.0194793456,73.617825183,74.1586188195,74.6457290066,75.1172918738,75.6540088584,76.237657055,76.7384434602,77.1616650095,77.5214679563,77.9261231131,78.4483865136,78.8280032541,79.1701979572,79.5822380909,79.6712645756,79.7789026485,80.100650818,80.368046642,80.6061375757,80.8075386423,80.996827262,80.9956340956,80.9741571002,81.0933652716,81.1845430715,80.2401880141,78.805830245,78.0291693031,77.1957335262,76.5824188737,76.3227967098,75.9836120401,75.5927506101,75.1339419687,74.6342402603,74.2169755039,73.8513242339,72.4964476182,72.3204779412,71.9275259722,71.5443269584,71.243556701,70.8737917702,69.4718534205,68.9859221066,68.5744565217,68.1245302137,67.6890935888,67.2981577008,66.9225773766,
